OBJECTID_1,OBJECTID,Id,RouteNum,RouteName,Color,ServType,PageOrient,Dest_1,Dest_2,Dest_3,GlobalID,created_us,created_da,last_edite,last_edi_1,Shape_STLe,Shapelen
83,6,0,82,Westheimer,Red,Local,L,Downtown,West Oaks Mall, ,{B5D86D55-107E-4E80-B94A-C23FDEB05264}, ,,sn01,2016-08-18T00:00:00.000Z,174968.170545,174968.170545303
84,7,0,32,Renwick SanFelipe,Blue,Local,L,Downtown TC,Braeswood Blvd, ,{CDE86AB8-57DD-4074-84E7-0506D7B34E43}, ,,sn01,2016-08-18T00:00:00.000Z,89902.9653457,89902.9653456713
85,10,0,30,Ella Clinton,Green,Local,L,N Shepherd P&R,Clinton Park, ,{24FBEEA9-D7F0-4F06-9F0D-81A2688FD5AF}, ,,sn01,2016-08-18T00:00:00.000Z,151761.06458,151761.064578641
86,15,0,46,Gessner,Red,Local,P,Airport Blvd,Hempstead Hwy, ,{EE0A2A63-6CB5-452F-9D45-BFDD24446D6A}, ,,sn01,2016-08-22T00:00:00.000Z,102066.81615,102066.816155059
87,19,0,27,Shepherd,Red,Local,P,TMC TC,N Shepherd P&R, ,{AE09CAA3-A6BD-4857-9B81-1C7D0482CB3C}, ,,sn01,2016-08-19T00:00:00.000Z,105629.047061,105629.047060762
88,21,0,28,OST Wayside,Blue,Local,L,TMC TC,Denver Harbor TC, ,{3384F478-811D-43AE-B9A9-E9021EF2FD6B}, ,,sn01,2016-08-17T00:00:00.000Z,104507.52812,104507.528120347
89,23,0,84,Buffalo Speedway,Blue,Local,P,W Bellfort St,Northwest TC, ,{32611A25-7814-463C-BF25-9577DDD8F995}, ,,sn01,2016-08-18T00:00:00.000Z,90498.1347075,90498.1347075629
90,27,0,96,Veterans Memorial,Green,Local,P,Northline TC,FM 1960, ,{FEDEBCB6-6D67-4B67-AFC7-9684BC43177A}, ,,sn01,2016-08-17T00:00:00.000Z,88840.4744555,88840.4744556041
91,31,0,152,Harwin Express,Blue,Express,L,Wheeler TC,Westwood P&R, ,{A712844F-EA13-4BBE-B622-93D918DEC6A9}, ,,sn01,2016-08-19T00:00:00.000Z,149587.22195,149587.221952401
92,35,0,153,Briar Forest Express,Blue,Express,L,Wheeler TC,Briar Forest Dr, ,{B622BDAC-72B9-4A5E-A072-261CF2427C3E}, ,,sn01,2016-08-19T00:00:00.000Z,158091.04716,158091.047160382
93,43,0,25,Richmond,Red,Local,L,Eastwood TC,Westchase, ,{5994FB4F-E3EA-4840-93E8-E6BE943233A5}, ,,sn01,2016-08-18T00:00:00.000Z,134694.729148,134694.729147759
94,45,0,41,Kirby Polk,Blue,Local,L,TMC TC,Eastwood TC, ,{8851DC7F-8419-4FC6-A931-163ABA9FB08B}, ,,sn01,2016-08-18T00:00:00.000Z,79769.812923,79769.812923012
95,60,0,9,Gulfton Holman,Blue,Local,L,Eastwood TC,Fondren Rd, ,{CFA9B596-5E14-4976-A980-636E82B0E1B6}, ,,sn01,2016-08-19T00:00:00.000Z,116724.19686,116724.196859463
96,61,0,44,Acres Homes,Blue,Local,P,Downtown,Willowbrook,Louetta Rd,{044202DD-D476-4834-81D2-889B753584DA}, ,,sn01,2016-08-17T00:00:00.000Z,192292.172113,192292.172112581
97,63,0,52,Hardy Ley,Blue,Local,P,Downtown TC,Mesa TC, ,{71D58FA1-F37A-4F0D-AF66-83B0B5184580}, ,,sn01,2016-08-17T00:00:00.000Z,108302.15532,108302.155318547
98,65,0,87,Sunnyside,Green,Local,P,TMC TC,Fannin South TC, ,{E3AE1246-4C5A-4E4B-91A1-E97391A089BB}, ,,sn01,2016-08-17T00:00:00.000Z,111469.43778,111469.437776983
99,66,0,64,Lincoln City,Green,Local,P,Acres Homes TC,McCrarey Dr, ,{405ED448-807D-4125-AC0E-7E4ED3975B3E}, ,,sn01,2016-08-17T00:00:00.000Z,54812.2410244,54812.2410244449
